"","NA","NA","Cor","Pval","Qval","name"
"1","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified",0.447418384535872,1.88792731745765e-27,8.02369109919501e-27,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified"
"2","tyr.PPM.","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes",0.440948238731667,1.26824833693358e-26,4.62004751311519e-26,"tyr.PPM._with_k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes"
"3","tyr.PPM.","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides",0.371051276756814,9.60712874035824e-19,2.7368982989922e-18,"tyr.PPM._with_k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides"
"4","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Candidatus_Cibionibacter",0.525868090104845,5.05001987563853e-39,5.94348493055919e-38,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Candidatus_Cibionibacter"
"5","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified",0.430725163072247,2.36884559703651e-25,8.42868317085085e-25,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified"
"6","tyr.PPM.","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola",0.371665403788015,8.34126949605697e-19,2.45425814018599e-18,"tyr.PPM._with_k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"
"7","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium",0.376024664127867,3.03306152557419e-19,9.09918457672256e-19,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium"
"8","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia",0.445182958339371,3.66266560192766e-27,1.51456172187819e-26,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia"
"9","tyr.PPM.","k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia",0.558409683125132,8.80614638149471e-45,3.36835099092172e-43,"tyr.PPM._with_k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia"
"10","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB9602",0.48412009139441,1.71194297256085e-32,1.04770909920724e-31,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB9602"
"11","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium",0.548366331330534,6.16182444612906e-43,1.57126523376291e-41,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium"
"12","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia",0.510254105766397,1.78579742291279e-36,1.60721768062151e-35,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia"
"13","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus",0.48325683225701,2.28686728297873e-32,1.29589146035461e-31,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus"
"14","tyr.PPM.","k__Bacteria|p__Firmicutes|c__CFGB76352|o__OFGB76352|f__FGB76352|g__GGB4571",0.355647515297544,3.01486608239797e-17,8.09253527380509e-17,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__CFGB76352|o__OFGB76352|f__FGB76352|g__GGB4571"
"15","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9713",0.469060699005304,2.38050162013911e-30,1.17489273510091e-29,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9713"
"16","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified",0.48919789981917,3.06555855951502e-33,1.95429358169083e-32,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified"
"17","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Dysosmobacter",0.363343572418518,5.5160285071704e-18,1.5344588392674e-17,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Dysosmobacter"
"18","tyr.PPM.","k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982|f__FGB2982|g__GGB9342",0.429312477499359,3.52239738880255e-25,1.22483363746998e-24,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982|f__FGB2982|g__GGB9342"
"19","tyr.PPM.","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__GGB1407",0.184752164571045,1.86748641605144e-05,3.40149311495083e-05,"tyr.PPM._with_k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__GGB1407"
"20","tyr.PPM.","k__Bacteria|p__Proteobacteria|c__CFGB13104|o__OFGB13104|f__FGB13104|g__GGB6612",0.321546684408808,3.26129713424112e-14,8.04803970224019e-14,"tyr.PPM._with_k__Bacteria|p__Proteobacteria|c__CFGB13104|o__OFGB13104|f__FGB13104|g__GGB6612"
"21","tyr.PPM.","k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Brucellaceae|g__GGB15850",0.354810712077058,3.61633821033501e-17,9.37796179968232e-17,"tyr.PPM._with_k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Brucellaceae|g__GGB15850"
"22","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9635",0.492575574506246,9.60850340978974e-34,6.68227737135377e-33,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9635"
"23","tyr.PPM.","k__Bacteria|p__Firmicutes|c__CFGB1798|o__OFGB1798|f__FGB1798|g__GGB4768",0.0992619295720955,0.0222874801569505,0.0312842611377378,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__CFGB1798|o__OFGB1798|f__FGB1798|g__GGB4768"
"24","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB9536",-0.00183241865053711,0.966430237482332,0.966430237482332,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB9536"
"25","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB9176",0.0955265429762249,0.0278761669413712,0.0387732140184527,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB9176"
"26","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9634",0.498516866035718,1.20958735924081e-34,9.25334329819217e-34,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9634"
"27","tyr.PPM.","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB3277",0.44124662683467,1.16263710605679e-26,4.4470869306672e-26,"tyr.PPM._with_k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB3277"
"28","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9716",0.00477875379355057,0.912602848146094,0.918606814252318,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9716"
"29","tyr.PPM.","k__Bacteria|p__Bacteroidetes|c__CFGB1670|o__OFGB1670|f__FGB1670|g__GGB47687",0.457426207857758,9.14186849720534e-29,4.1138408237424e-28,"tyr.PPM._with_k__Bacteria|p__Bacteroidetes|c__CFGB1670|o__OFGB1670|f__FGB1670|g__GGB47687"
"30","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4566",0.154819562218403,0.000347041373525544,0.00059659921516189,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4566"
"31","tyr.PPM.","k__Bacteria|p__Proteobacteria|c__CFGB2403|o__OFGB2403|f__FGB2403|g__GGB6601",0.331548462348052,4.59381317442968e-15,1.1522187142422e-14,"tyr.PPM._with_k__Bacteria|p__Proteobacteria|c__CFGB2403|o__OFGB2403|f__FGB2403|g__GGB6601"
"32","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4567",0.512432219984276,8.02032774863412e-37,8.18073430360681e-36,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4567"
"33","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Gemmiger",0.580632440523423,4.27868775063368e-49,3.27319612923477e-47,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Gemmiger"
"34","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Eubacteriales_unclassified",0.378151792115213,1.84107738652604e-19,5.63369680276967e-19,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Eubacteriales_unclassified"
"35","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Lawsonibacter",0.190593309306559,9.9623301079988e-06,1.90529563315477e-05,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Lawsonibacter"
"36","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__GGB6546",0.0535695435483537,0.218234646835247,0.267119207726342,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__GGB6546"
"37","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus",0.467907415731618,3.43915333437196e-30,1.64434518799659e-29,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus"
"38","tyr.PPM.","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter",0.371027556850475,9.65964105526658e-19,2.7368982989922e-18,"tyr.PPM._with_k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter"
"39","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella",0.528585860461381,1.76205080984395e-39,2.69593773906124e-38,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella"
"40","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalicatena",0.284199607116619,2.64228527810098e-11,6.03387533655897e-11,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalicatena"
"41","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter",0.510271401569389,1.77452264610411e-36,1.60721768062151e-35,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter"
"42","tyr.PPM.","k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium",0.545135810513384,2.34409271091881e-42,4.48307730963222e-41,"tyr.PPM._with_k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium"
"43","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalibacillus",0.475721865436102,2.76565901741511e-31,1.45912355056728e-30,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalibacillus"
"44","tyr.PPM.","k__Bacteria|p__Proteobacteria|c__CFGB76539|o__OFGB76539|f__FGB76539|g__GGB9815",0.00894685143324705,0.837189474479096,0.853933263968678,"tyr.PPM._with_k__Bacteria|p__Proteobacteria|c__CFGB76539|o__OFGB76539|f__FGB76539|g__GGB9815"
"45","tyr.PPM.","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides",0.442915962304752,7.1367994039867e-27,2.8735008126578e-26,"tyr.PPM._with_k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides"
"46","tyr.PPM.","k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070|f__FGB3070|g__GGB9512",0.20641375948982,1.64726255941421e-06,3.45248180260785e-06,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070|f__FGB3070|g__GGB9512"
"47","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB33928",0.2397561022148,2.29332265932918e-08,5.15997598349065e-08,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB33928"
"48","tyr.PPM.","k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella",0.3916852181883,7.04348492089436e-21,2.24511081853508e-20,"tyr.PPM._with_k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella"
"49","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerostipes",0.48219747000934,3.25889751965359e-32,1.78075471609642e-31,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerostipes"
"50","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3746",0.382115688544686,7.19065075073029e-20,2.24524400992191e-19,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3746"
"51","tyr.PPM.","k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107|o__OFGB2107|f__FGB2107|g__GGB6002",0.088172360596945,0.0424541397488123,0.0564824641875503,"tyr.PPM._with_k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107|o__OFGB2107|f__FGB2107|g__GGB6002"
"52","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea",0.509344540584438,2.49036799230944e-36,2.11681279346302e-35,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea"
"53","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB3167",0.0635263760357059,0.14415010594851,0.18379138508435,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB3167"
"54","tyr.PPM.","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella",0.337222921487912,1.46269520795367e-15,3.72987278028187e-15,"tyr.PPM._with_k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella"
"55","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerobutyricum",0.470077697961478,1.71894414376216e-30,8.766615133187e-30,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerobutyricum"
"56","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacteriaceae_unclassified",0.22652772432044,1.35369266060043e-07,2.95878538674094e-07,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacteriaceae_unclassified"
"57","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB51269",0.156652243607474,0.000294300936511639,0.000511682310071372,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB51269"
"58","tyr.PPM.","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella",0.554439644885509,4.80355955346137e-44,1.46988922335918e-42,"tyr.PPM._with_k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella"
"59","tyr.PPM.","k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales|f__Candidatus_Gastranaerophilales_unclassified|g__Candidatus_Gastranaerophilales_unclassified",0.127914215163813,0.00317794014896829,0.00501262724527988,"tyr.PPM._with_k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales|f__Candidatus_Gastranaerophilales_unclassified|g__Candidatus_Gastranaerophilales_unclassified"
"60","tyr.PPM.","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella",0.392512612441586,5.74097379514983e-21,1.8688701928892e-20,"tyr.PPM._with_k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella"
"61","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruthenibacterium",0.526339903292627,4.2092577692763e-39,5.36680365582728e-38,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruthenibacterium"
"62","tyr.PPM.","k__Bacteria|p__Tenericutes|c__CFGB1787|o__OFGB1787|f__FGB1787|g__GGB4745",0.151455951957642,0.000467446641265852,0.000794659290151949,"tyr.PPM._with_k__Bacteria|p__Tenericutes|c__CFGB1787|o__OFGB1787|f__FGB1787|g__GGB4745"
"63","tyr.PPM.","k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__GGB74552",-0.0111526491754416,0.797831135980908,0.819249421510596,"tyr.PPM._with_k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__GGB74552"
"64","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB3363",0.0937142380431275,0.030996395344556,0.0423432900689024,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB3363"
"65","tyr.PPM.","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma",0.192813343726596,7.80618726021557e-06,1.51183120356074e-05,"tyr.PPM._with_k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma"
"66","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__GGB6518",0.195966545988443,5.49410148425847e-06,1.11053881186527e-05,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__GGB6518"
"67","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4605",0.233890901734509,5.10542623659641e-08,1.13207277420181e-07,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4605"
"68","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Pseudoruminococcus",0.0393136752303259,0.366376731178714,0.406200288915531,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Pseudoruminococcus"
"69","tyr.PPM.","k__Bacteria|p__Firmicutes|c__CFGB75721|o__OFGB75721|f__FGB75721|g__GGB9524",0.147804082991555,0.000641489325217642,0.00106682463867717,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__CFGB75721|o__OFGB75721|f__FGB75721|g__GGB9524"
"70","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium",0.499380142904913,8.92047554848989e-35,7.18333031009975e-34,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"
"71","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB3175",0.195260497373267,5.94658351238049e-06,1.18159386674573e-05,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB3175"
"72","tyr.PPM.","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas",0.490877540050252,1.7244735283879e-33,1.1471497819276e-32,"tyr.PPM._with_k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas"
"73","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3653",0.301691945493072,1.29304526315394e-12,3.0436296194239e-12,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3653"
"74","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9724",0.111531656452654,0.010181285992673,0.0152719289890095,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9724"
"75","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Waltera",0.414551174384327,1.99243109904984e-23,6.77426573676946e-23,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Waltera"
"76","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB33469",0.441791845468827,9.91634674059896e-27,3.89025910592729e-26,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB33469"
